SYMBOL,NAME,CLOSE,VOLUME,UPDATE_DATE,UPDATE_TIME
PIRAMALFIN,PIRAMALFIN,1793.9,254619,2026-01-25,10:17:31
SUNDARMFIN,SUNDARMFIN,5029.5,52052,2026-01-25,10:17:31
PATANJALI,PATANJALI,511.5,3825228,2026-01-25,10:17:31
GLENMARK,GLENMARK,1967.7,424174,2026-01-25,10:17:31
APLAPOLLO,APLAPOLLO,2000.1,2186960,2026-01-25,10:17:31
MFSL,MFSL,1599.0,387475,2026-01-25,10:17:31
BIOCON,BIOCON,366.2,1896911,2026-01-25,10:17:31
LAURUSLABS,LAURUSLABS,1016.4,4200801,2026-01-25,10:17:31
COFORGE,COFORGE,1636.4,3575484,2026-01-25,10:17:31
OBEROIRLTY,OBEROIRLTY,1453.9,1123854,2026-01-25,10:17:31
JSWINFRA,JSWINFRA,256.35,1274179,2026-01-25,10:17:31
NAM_INDIA,NAM_INDIA,823.95,359332,2026-01-25,10:17:31
MPHASIS,MPHASIS,2752.8,1589967,2026-01-25,10:17:31
HINDCOPPER,HINDCOPPER,535.9,29167207,2026-01-25,10:17:31
BDL,BDL,1408.0,826325,2026-01-25,10:17:31
FACT,FACT,781.95,86330,2026-01-25,10:17:31
MAHABANK,MAHABANK,65.63,27511949,2026-01-25,10:17:31
M&MFIN,M&MFIN,360.65,2249442,2026-01-25,10:17:31
LINDEINDIA,LINDEINDIA,5863.5,14670,2026-01-25,10:17:31
IRCTC,IRCTC,617.8,1647574,2026-01-25,10:17:31
PIIND,PIIND,3175.4,172534,2026-01-25,10:17:31
BALKRISIND,BALKRISIND,2408.4,45883,2026-01-25,10:17:31
GODREJPROP,GODREJPROP,1541.2,2461081,2026-01-25,10:17:31
360ONE,360ONE,1112.3,1476232,2026-01-25,10:17:31
MOTILALOFS,MOTILALOFS,751.0,740843,2026-01-25,10:17:31
TATACOMM,TATACOMM,1560.2,617465,2026-01-25,10:17:31
AIIL,AIIL,521.8,564158,2026-01-25,10:17:31
SUPREMEIND,SUPREMEIND,3488.5,360984,2026-01-25,10:17:31
HEXT,HEXT,716.7,174623,2026-01-25,10:17:31
VOLTAS,VOLTAS,1315.4,1639531,2026-01-25,10:17:31
TIINDIA,TIINDIA,2219.4,329759,2026-01-25,10:17:31
JKCEMENT,JKCEMENT,5536.5,110946,2026-01-25,10:17:31
PETRONET,PETRONET,278.1,3056627,2026-01-25,10:17:31
LTTS,LTTS,3837.9,56299,2026-01-25,10:17:31
RADICO,RADICO,2962.0,882356,2026-01-25,10:17:31
PGHH,PGHH,12157.0,2344,2026-01-25,10:17:31
HUDCO,HUDCO,195.96,7327876,2026-01-25,10:17:31
GLAXO,GLAXO,2313.4,86873,2026-01-25,10:17:31
COCHINSHIP,COCHINSHIP,1488.4,444823,2026-01-25,10:17:31
DALBHARAT,DALBHARAT,2084.9,279720,2026-01-25,10:17:31
ESCORTS,ESCORTS,3500.4,111960,2026-01-25,10:17:31
UBL,UBL,1441.5,61929,2026-01-25,10:17:31
KALYANKJIL,KALYANKJIL,367.2,12299275,2026-01-25,10:17:31
ITCHOTELS,ITCHOTELS,182.21,1910693,2026-01-25,10:17:31
3MINDIA,3MINDIA,33315.0,1691,2026-01-25,10:17:31
ASTRAL,ASTRAL,1383.9,418236,2026-01-25,10:17:31
IPCALAB,IPCALAB,1462.8,47636,2026-01-25,10:17:31
PAGEIND,PAGEIND,32880.0,25720,2026-01-25,10:17:31
CONCOR,CONCOR,479.75,2067105,2026-01-25,10:17:31
KEI,KEI,3807.2,490458,2026-01-25,10:17:31
PWL,PWL,126.5,18584561,2026-01-25,10:17:31
UCOBANK,UCOBANK,28.75,8583612,2026-01-25,10:17:31
IREDA,IREDA,127.4,8841839,2026-01-25,10:17:31
NH,NH,1746.7,342904,2026-01-25,10:17:31
BLUESTARCO,BLUESTARCO,1698.1,346663,2026-01-25,10:17:31
AIAENG,AIAENG,3729.9,58062,2026-01-25,10:17:31
THERMAX,THERMAX,2920.6,67965,2026-01-25,10:17:31
FLUOROCHEM,FLUOROCHEM,3127.2,81929,2026-01-25,10:17:31
NLCINDIA,NLCINDIA,247.1,876967,2026-01-25,10:17:31
