SYMBOL,NAME,CLOSE,CHANGE%,VOLUME,FETCH_DATE
SAMMAANCAP,SAMMAANCAP,138.91,-0.7573051368150334,7576715,2026-01-25 09:59
ADANIENT,ADANIENT,1864.2,-10.649923312883438,7492631,2026-01-25 09:59
NYKAA,NYKAA,234.7,-1.9837126748799332,7359262,2026-01-25 09:59
HUDCO,HUDCO,195.96,-5.383612573028828,7327876,2026-01-25 09:59
MRPL,MRPL,155.4,0.7194244604316635,6952785,2026-01-25 09:59
BHEL,BHEL,242.5,-3.597694295368718,6847147,2026-01-25 09:59
SWANCORP,SWANCORP,410.0,2.2443890274314215,6761819,2026-01-25 09:59
RVNL,RVNL,325.15,-1.1702127659574537,6752882,2026-01-25 09:59
PFC,PFC,358.65,-1.6588977241568443,6728741,2026-01-25 09:59
CIPLA,CIPLA,1315.0,-4.042615294804443,6590032,2026-01-25 09:59
BAJFINANCE,BAJFINANCE,927.85,-1.590921143341995,6535035,2026-01-25 09:59
COALINDIA,COALINDIA,418.4,-1.1342155009451822,6520896,2026-01-25 09:59
LTF,LTF,288.0,0.2436477549599682,6502459,2026-01-25 09:59
AMBUJACEM,AMBUJACEM,518.6,-5.122575923893157,6489381,2026-01-25 09:59
TRIDENT,TRIDENT,25.36,-2.909647779479332,6418372,2026-01-25 09:59
ADANIPORTS,ADANIPORTS,1308.4,-7.4812614905953865,6380222,2026-01-25 09:59
JINDALSAW,JINDALSAW,177.72,-5.458027449728689,6339965,2026-01-25 09:59
PATELENG,PATELENG,28.02,-4.758667573079545,6299613,2026-01-25 09:59
BCG,BCG,8.94,-2.1881838074398363,6260869,2026-01-25 09:59
URBANCO,URBANCO,124.85,-3.7171280943934555,6166599,2026-01-25 09:59
HINDPETRO,HINDPETRO,414.85,-3.004442366144486,6140298,2026-01-25 09:59
PREMIERENE,PREMIERENE,683.1,-7.657992565055759,5967336,2026-01-25 09:59
HINDALCO,HINDALCO,950.3,0.6194081211286896,5958887,2026-01-25 09:59
INDUSINDBK,INDUSINDBK,892.45,-1.1080946312815114,5907525,2026-01-25 09:59
DBREALTY,DBREALTY,102.65,1.292678113282023,5880825,2026-01-25 09:59
INFY,INFY,1670.8,0.4388337841899582,5869137,2026-01-25 09:59
IRB,IRB,39.72,-1.0463378176382703,5529058,2026-01-25 09:59
LOTUSDEV,LOTUSDEV,152.5,6.494413407821238,5500836,2026-01-25 09:59
HGINFRA,HGINFRA,590.05,-11.003016591251892,5478463,2026-01-25 09:59
VMM,VMM,124.58,0.2898084044437284,5464470,2026-01-25 09:59
ALOKINDS,ALOKINDS,14.43,-2.301963439404197,5347962,2026-01-25 09:59
BPCL,BPCL,349.15,-1.4118311449950587,5338663,2026-01-25 09:59
